"MotifName"	"log_FC_Change"	"adj_p_val"	"CellType"	"Significance"
"PHOX2A"	0.171679669230599	1	"NK"	""
"PHOX2A"	-0.38848312185868	1	"Naive CD8-1"	""
"PHOX2A"	0.119461906987033	1	"Naive CD8-2"	""
"PHOX2A"	-1.06625035907191	0.771344277596063	"Memory CD4"	""
"Rbpjl"	0.206033061948364	1	"Naive CD8-2"	""
"Rbpjl"	-0.259129745036871	1	"γδ T"	""
"Rbpjl"	-0.777448668275188	1	"CD8 GZMK"	""
"Rbpjl"	0.122602805955305	1	"Naive CD4-1"	""
"Rbpjl"	-0.3847146646774	1	"NK"	""
"Rbpjl"	0.0658586505619221	1	"Naive CD8-1"	""
"Rbpjl"	0.168503159954409	1	"Naive CD4-2"	""
"Rbpjl"	-0.848921218040144	0.0588041149237192	"CD8 GZMM"	""
"Rbpjl"	-1.71706049249016	0.00251353809330666	"Memory CD4"	"*"
"REL"	0.855369107481589	1	"Naive CD8-1"	""
"REL"	-0.679678383726273	1	"CD8 GZMM"	""
"REL"	0.36633601416573	0.0901352560277438	"Naive CD4-2"	""
"REL"	1.05303893583409	0.000112980406316006	"Naive CD4-1"	"*"
"REL"	1.04909801091291	1	"NK"	""
"REL"	0.832657137752945	1	"CD8 GZMK"	""
"REL"	0.424508707972247	0.00101978831451741	"Naive CD8-2"	"*"
"REL"	-2.89124538182205	1	"Memory CD4"	""
"REL"	-0.695092904201013	1	"γδ T"	""
"SCRT2"	0.207784907912851	1	"Naive CD8-2"	""
"SCRT2"	-0.384958783949616	1	"CD8 GZMK"	""
"SCRT2"	0.118534121230331	1	"γδ T"	""
"SCRT2"	0.0958810729646675	1	"Naive CD8-1"	""
"SCRT2"	-1.24086782108703	0.735707312711874	"Memory CD4"	""
"SCRT2"	0.104405309178873	1	"Naive CD4-2"	""
"SCRT2"	0.00967936498751942	1	"Naive CD4-1"	""
"SCRT2"	-0.177054693358068	1	"NK"	""
"SCRT2"	-1.23120765958183	0.00178514406573344	"CD8 GZMM"	"*"
"Smad2::Smad3"	1.19540008112179	1	"γδ T"	""
"Smad2::Smad3"	0.376774191019711	0.00890509628260164	"CD8 GZMM"	"*"
"Smad2::Smad3"	-1.20455949268273	1	"CD8 GZMK"	""
"Smad2::Smad3"	1.70694165269599	9.46210338587552e-10	"Naive CD4-1"	""
"Smad2::Smad3"	-1.82221161618461	0.0157152354090623	"Naive CD8-1"	"*"
"Smad2::Smad3"	2.43444948024552	0.00262827546557867	"Memory CD4"	"*"
"Smad2::Smad3"	-3.31816332757854	1	"NK"	""
"Smad2::Smad3"	1.06956302724639	1	"Naive CD4-2"	""
"Smad2::Smad3"	-0.61153717080045	2.37789789329434e-08	"Naive CD8-2"	""
"SNAI1"	-0.16194902090568	1	"Naive CD8-1"	""
"SNAI1"	0.012856678554493	1	"γδ T"	""
"SNAI1"	-0.517023034630167	1	"Naive CD4-1"	""
"SNAI1"	-1.20341964597628	0.00152229402795616	"Memory CD4"	"*"
"SNAI1"	-0.818402108119343	1	"CD8 GZMK"	""
"SNAI1"	0.188745185163862	1	"Naive CD8-2"	""
"SNAI1"	0.0434121447732472	1	"Naive CD4-2"	""
"SNAI1"	-0.0344009301826427	1	"NK"	""
"SNAI1"	-1.31376282521731	0.0172929277810588	"CD8 GZMM"	"*"
"SNAI2"	0.0853954107847739	1	"Naive CD4-2"	""
"SNAI2"	-0.284994662870162	1	"γδ T"	""
"SNAI2"	0.0638698312937829	1	"Naive CD8-1"	""
"SNAI2"	-0.242290997744797	1	"Naive CD4-1"	""
"SNAI2"	-1.1372909769841	0.00461773502421201	"CD8 GZMM"	"*"
"SNAI2"	0.063997931826171	1	"NK"	""
"SNAI2"	-0.282676217437179	1	"CD8 GZMK"	""
"SNAI2"	-1.01037729009319	4.19903311893507e-05	"Memory CD4"	""
"SNAI2"	0.300912605039012	1	"Naive CD8-2"	""
"SNAI3"	0.332936521963911	1	"γδ T"	""
"SNAI3"	-1.41059109343117	2.7280829799318e-07	"Memory CD4"	""
"SNAI3"	0.0173427362568583	1	"Naive CD4-2"	""
